id,institucion_id,autoridad,nombre_propuesto1,nombre_propuesto2,nombre_propuesto3,nombre_solicitado,nombre_autorizado,es_nombre_autorizado,fecha_autorizacion,created_at,updated_at,deleted_at
1,1,"Secreataría de Innovación, Ciencia y Tecnología",Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/30 17:23,2020/02/14 10:09,1900/01/01 00:00
2,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/31 09:31,1900/01/01 00:00,1900/01/01 00:00
3,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/31 09:56,1900/01/01 00:00,1900/01/01 00:00
4,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/31 10:28,1900/01/01 00:00,1900/01/01 00:00
5,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/31 10:29,1900/01/01 00:00,1900/01/01 00:00
6,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/31 10:40,1900/01/01 00:00,1900/01/01 00:00
7,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/31 13:14,1900/01/01 00:00,1900/01/01 00:00
8,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/31 14:22,1900/01/01 00:00,1900/01/01 00:00
9,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/31 16:09,1900/01/01 00:00,1900/01/01 00:00
10,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/07/31 18:09,1900/01/01 00:00,1900/01/01 00:00
11,1,NULL,Universidad Cuauhtémoc Plantel Guadalajara,NULL,NULL,NULL,NULL,1,1900/01/01,2019/08/01 10:46,1900/01/01 00:00,1900/01/01 00:00
