id,persona_id,created_at
1,-1,2023/11/29 05:23
2,1,1900/01/01 00:00
3,2,1900/01/01 00:00
4,54,1900/01/01 00:00
5,55,1900/01/01 00:00
6,56,1900/01/01 00:00
7,57,1900/01/01 00:00
8,58,1900/01/01 00:00
9,59,1900/01/01 00:00
10,60,1900/01/01 00:00
11,61,1900/01/01 00:00
12,62,1900/01/01 00:00
13,63,1900/01/01 00:00
14,64,1900/01/01 00:00
15,65,1900/01/01 00:00
16,66,1900/01/01 00:00
17,67,1900/01/01 00:00
18,68,1900/01/01 00:00
19,69,1900/01/01 00:00
20,70,1900/01/01 00:00
21,71,1900/01/01 00:00
22,72,1900/01/01 00:00
23,73,1900/01/01 00:00
24,74,1900/01/01 00:00
25,75,1900/01/01 00:00
26,76,1900/01/01 00:00
27,77,1900/01/01 00:00
28,78,1900/01/01 00:00
29,79,1900/01/01 00:00
30,80,1900/01/01 00:00
31,81,1900/01/01 00:00
32,82,1900/01/01 00:00
33,83,1900/01/01 00:00
34,84,1900/01/01 00:00
35,85,1900/01/01 00:00
36,86,1900/01/01 00:00
37,87,1900/01/01 00:00
38,88,1900/01/01 00:00
39,89,1900/01/01 00:00
40,90,1900/01/01 00:00
41,91,1900/01/01 00:00
42,92,1900/01/01 00:00
43,93,1900/01/01 00:00
44,94,1900/01/01 00:00
45,95,1900/01/01 00:00
46,96,1900/01/01 00:00
47,97,1900/01/01 00:00
48,98,1900/01/01 00:00
49,99,1900/01/01 00:00
50,100,1900/01/01 00:00
51,101,1900/01/01 00:00
52,102,1900/01/01 00:00
53,103,1900/01/01 00:00
54,104,1900/01/01 00:00
55,105,1900/01/01 00:00
56,106,1900/01/01 00:00
57,107,1900/01/01 00:00
58,108,1900/01/01 00:00
59,109,1900/01/01 00:00
60,110,1900/01/01 00:00
61,111,1900/01/01 00:00
62,112,1900/01/01 00:00
63,113,1900/01/01 00:00
64,114,1900/01/01 00:00
65,115,1900/01/01 00:00
66,116,1900/01/01 00:00
67,117,1900/01/01 00:00
68,118,1900/01/01 00:00
69,119,1900/01/01 00:00
70,120,1900/01/01 00:00
71,121,1900/01/01 00:00
72,122,1900/01/01 00:00
73,123,1900/01/01 00:00
74,124,1900/01/01 00:00
75,125,1900/01/01 00:00
76,126,1900/01/01 00:00
77,127,1900/01/01 00:00
78,128,1900/01/01 00:00
79,129,1900/01/01 00:00
80,130,1900/01/01 00:00
81,131,1900/01/01 00:00
82,132,1900/01/01 00:00
83,133,1900/01/01 00:00
84,134,1900/01/01 00:00
85,135,1900/01/01 00:00
86,136,1900/01/01 00:00
87,137,1900/01/01 00:00
88,138,1900/01/01 00:00
89,139,1900/01/01 00:00
90,140,1900/01/01 00:00
91,141,1900/01/01 00:00
92,142,1900/01/01 00:00
93,143,1900/01/01 00:00
94,144,1900/01/01 00:00
95,145,1900/01/01 00:00
96,146,1900/01/01 00:00
97,147,1900/01/01 00:00
98,148,1900/01/01 00:00
99,149,1900/01/01 00:00
100,150,1900/01/01 00:00
101,151,1900/01/01 00:00
102,152,1900/01/01 00:00
103,153,1900/01/01 00:00
104,154,1900/01/01 00:00
105,155,1900/01/01 00:00
106,156,1900/01/01 00:00
107,157,1900/01/01 00:00
108,158,1900/01/01 00:00
109,159,1900/01/01 00:00
110,160,1900/01/01 00:00
111,161,1900/01/01 00:00
112,162,1900/01/01 00:00
113,163,1900/01/01 00:00
114,164,1900/01/01 00:00
115,165,1900/01/01 00:00
116,166,1900/01/01 00:00
117,167,1900/01/01 00:00
118,168,1900/01/01 00:00
119,169,1900/01/01 00:00
120,170,1900/01/01 00:00
121,171,1900/01/01 00:00
122,172,1900/01/01 00:00
123,173,1900/01/01 00:00
124,174,1900/01/01 00:00
125,175,1900/01/01 00:00
126,176,1900/01/01 00:00
127,177,1900/01/01 00:00
